player_id,role_id,kills,assists,matches_played,wins,solo_kills,damage,damage_blocked,healing
p0001,r002,5142,740,290,158,1253,2389753,974471,189860
p0002,r003,1217,688,102,64,148,638882,647688,387260
p0003,r001,1244,132,86,57,145,797527,1468686,0
p0004,r003,1879,890,155,79,341,763256,709286,608398
